Movie,Director,Country,Year
A Haunting at Silver Falls: The Return,Teo Konuralp,United States,2019
A Heavy Heart,Thomas Stuber,Germany,2015
A Holiday Engagement,Jim Fall,United States,2011
A Home with A View,Herman Yau,Hong Kong,2019
A Kid from Coney Island,"Coodie, Chike","United States, China",2019
A Kind of Murder,Andy Goddard,United States,2016
A Land Imagined,Yeo Siew Hua,"France, Netherlands, Singapore",2019
A Leaf of Faith,Chris Bell,United States,2018
A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,Argentina,2020
A Little Chaos,Alan Rickman,United Kingdom,2014
A Love Song for Latasha,Sophia Nahli Allison,United States,2020
A Love Story,Maryo J. De los Reyes,Philippines,2007
A Mighty Team,Thomas Sorriaux,France,2016
A Mission in an Old Movie,Ahmad El-Badri,,2012
A Monster Calls,J.A. Bayona,"United Kingdom, Spain, United States",2016
A Most Violent Year,J.C. Chandor,"United Arab Emirates, United States",2014
A Murder in the Park,"Christopher S. Rech, Brandon Kimber",United States,2014
A new Capitalism,,Brazil,2017
A New York Christmas Wedding,Otoja Abit,United States,2020
A Night at the Roxbury,John Fortenberry,United States,1998
A Noble Intention,Joram LÃ¼rsen,Netherlands,2015
A Patch of Fog,Michael Lennox,United Kingdom,2015
A Perfect Ending,Nicole Conn,United States,2012
A Perfect Man,Kees Van Oostrum,United States,2013
A Plastic Ocean,,"United Kingdom, Hong Kong",2016
A Princess for Christmas,Michael Damian,United States,2011
A Remarkable Tale,Marina Seresesky,Spain,2019
A Russell Peters Christmas,Henry Sarwer-Foner,Canada,2011
A Scandall,Ishaan Trivedi,India,2016
A Second Chance,Cathy Garcia-Molina,Philippines,2015
A Secret Love,Chris Bolan,United States,2020
A Separation,Asghar Farhadi,"Iran, France",2011
A Serious Man,"Ethan Coen, Joel Coen","United States, United Kingdom, France",2009
A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher","United Kingdom, France, Belgium, United States, China",2020
A Silent Voice,Naoko Yamada,Japan,2016
A Single Man,Tom Ford,United States,2009
A Sort of Family,Diego Lerman,"Argentina, Brazil, France, Poland, Germany, Denmark",2017
A Sort of Homecoming,Maria Burton,United States,2015
A Stoning in Fulham County,Larry Elikann,United States,1988
A StoryBots Christmas,"Evan Spiridellis, Jeff Gill",United States,2017
A Sun,Chung Mong-hong,Taiwan,2019
A Tale of Love and Darkness,Natalie Portman,"Israel, United States",2015
A Tale of Two Kitchens,Trisha Ziff,"United States, Mexico",2019
A Thin Line Between Love & Hate,Martin Lawrence,United States,1996
A Thousand Words,Brian Robbins,United States,2012
A Trash Truck Christmas,Eddie Rosas,,2020
A Trip to Jamaica,Robert O. Peters,Nigeria,2016
A truthful Mother,Ravishankar Venkateswaran,India,2020
A Twelve Year Night,Ãlvaro Brechner,"Uruguay, Argentina, Spain",2018
A Very Country Christmas,Justin G. Dyck,"United States, Canada",2017
A Very Murray Christmas,Sofia Coppola,United States,2015
A Very Special Love,Cathy Garcia-Molina,Philippines,2008
A Walk to Remember,Adam Shankman,United States,2002
A Wednesday,Neeraj Pandey,India,2008
A Week in Watts,Gregory Caruso,United States,2017
A Whisker Away,"Junichi Sato, Tomotaka Shibayama",Japan,2020
A Witches' Ball,Justin G. Dyck,Canada,2017
A Wrinkle in Time,Ava DuVernay,United States,2018
A Yellow Bird,K. Rajagopal,"Singapore, France",2016
A.M.I.,Rusty Nixon,Canada,2019
A.X.L.,Oliver Daly,United States,2018
AÅk TesadÃ¼fleri Sever,Ãmer Faruk Sorak,Turkey,2011
Aadu 2,Midhun Manuel Thomas,India,2017
Aagey Se Right,Indrajit Nattoji,India,2009
Aajcha Divas Majha,Chandrakant Kulkarni,India,2013
Aakhri Adaalat,Rajiv Mehra,India,1988
Aalorukkam,V C Abhilash,India,2018
Aamir,Raj Kumar Gupta,India,2008
Aapla Manus,Satish Rajwade,India,2018
Aarakshan,Prakash Jha,India,2011
Aashayein,Nagesh Kukunoor,India,2010
Aashik Awara,Umesh Mehra,India,1993
Aata Pita,Uttung Shelar,India,2010
Aaviri,Ravi Babu,India,2019
Abby Sen,Atanu Ghosh,India,2015
ABCD 2,Remo D'Souza,India,2015
ABCD: Any Body Can Dance,Remo D'Souza,India,2013
Abdo Mota,,Egypt,2012
Abducted in Plain Sight,Skye Borgman,United States,2017
"Abdullah, The Final Witness",Hashim Nadeem Khan,Pakistan,2016
Abhinetri,A. L. Vijay,India,2016
Abominable Christmas,Chad Van De Keere,United States,2012
About a Boy,"Chris Weitz, Paul Weitz","United Kingdom, United States, France, Germany",2002
About Time,Richard Curtis,United Kingdom,2013
Abzurdah,Daniela Goggi,Argentina,2015
Acapulco La vida va,Alfonso Serrano Maturino,Mexico,2016
Accident,Cheang Pou Soi,Hong Kong,2009
Across Grace Alley,Ralph Macchio,United States,2013
Across The Line,Julien Christian Lutz,Canada,2015
Across the Universe,Julie Taymor,"United States, United Kingdom",2007
Act of Valor,"Mike McCoy, Scott Waugh",United States,2012
Act of Vengeance,Mahsun KÄ±rmÄ±zÄ±gÃ¼l,"Turkey, United States",2010
Action Replayy,Vipul Amrutlal Shah,India,2010
Acts of Vengeance,Isaac Florentine,"Bulgaria, United States",2017
Acts of Violence,Brett Donowho,Canada,2018
AdÃº,Salvador Calvo,Spain,2020
Adam Devine: Best Time of Our Lives,Jay Karas,United States,2019
ADAM SANDLER 100% FRESH,Steve Brill,United States,2018
Adam: His Song Continues,Robert Markowitz,United States,1986
Addicted to Life,Thierry Donard,France,2014
Adel Karam: Live from Beirut,,United States,2018
Adhugo,,India,2018
Aditi Mittal: Things They Wouldn't Let Me Say,Fazila Allana,India,2017
Adore,Anne Fontaine,"Australia, France",2013
Adrift,Baltasar KormÃ¡kur,"Hong Kong, Iceland, United States",2018
Adrishya,Sandeep Chatterjee,India,2017
Advantageous,Jennifer Phang,United States,2015
Adventures in Public School,Kyle Rideout,"Canada, United States",2018
Aerials,S.A. Zaidi,United Arab Emirates,2016
Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",Brazil,2020
After,Jenny Gage,United States,2019
After Maria,Nadia Hallgren,United States,2019
After Porn Ends,Bryce Wagoner,United States,2012
After Porn Ends 3,Brittany Andrews,United States,2018
After the Raid,Rodrigo Reyes,"United States, Mexico",2019
After We Collided,Roger Kumble,United States,2020
Aftermath,Elliott Lester,"United Kingdom, United States",2017
Afterschool,Antonio Campos,United States,2008
Aftershock,NicolÃ¡s LÃ³pez,"United States, Chile",2012
Agatha and the Truth of Murder,Terry Loane,United Kingdom,2018
Aggretsuko: We Wish You a Metal Christmas,Rarecho,Japan,2018
Agneepath,Mukul Anand,India,1990
AgustÃ­n AristarÃ¡n: Soy Rada,Mariano Baez,Argentina,2018
Agyaat,Ram Gopal Varma,India,2009
Ahista Ahista,Shivam Nair,India,2006
Ai Weiwei: Never Sorry,Alison Klayman,United States,2012
Ainu Mosir,Takeshi Fukunaga,"United States, Japan",2020
Airplane Mode,CÃ©sar Rodrigues,United States,2020
Aisa Yeh Jahaan,Biswajeet Bora,India,2015
Aitraaz,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",India,2004
Aiyaary,Neeraj Pandey,India,2018
Aiyyaa,Sachin Kundalkar,India,2012
Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,India,2009
Ajji,Devashish Makhija,India,2017
AK vs AK,Vikramaditya Motwane,India,2020
Al acecho,Francisco D'Eufemia,,2019
Ala Vaikunthapurramuloo,Trivikram Srinivas,India,2020
Alakada Reloaded,Toyin Abraham,,2017
Alan SaldaÃ±a: Mi vida de pobre,"RaÃºl Campos, Jan Suter",Mexico,2017
Alarmoty in the Land of Fire,,Egypt,2017
Alaska Is a Drag,Shaz Bennett,United States,2017
Albert Pinto Ko Gussa Kyun Aata Hai?,Soumitra Ranade,India,2019
Albion: The Enchanted Stallion,Castille Landon,"United States, Bulgaria",2016
Alejandro RiaÃ±o: Especial de stand up,,Colombia,2018
Alejandro Sanz: What I Was Is What I Am,"Gervasio Iglesias, Alexis Morante",Spain,2018
AlelÃ­,Leticia Jorge Romero,"Uruguay, Argentina",2019
Alex FernÃ¡ndez: The Best Comedian in the World,Alex DÃ­az,Mexico,2020
Alex Strangelove,Craig Johnson,United States,2018
Alexandria ... Why?,Youssef Chahine,"Egypt, Algeria",1979
Alexandria: Again and Forever,Youssef Chahine,"France, Egypt",1989
Alexis Viera: A Story of Surviving,Luis Ara,Uruguay,2019
Ali & Alia,Hussein El Ansary,United Arab Emirates,2019
Ali Baba ve 7 CÃ¼celer,Cem YÄ±lmaz,Turkey,2015
Ali Wong: Baby Cobra,Jay Karas,United States,2016
Ali Wong: Hard Knock Wife,Jay Karas,United States,2018
Ali's Wedding,Jeffrey Walker,Australia,2018
"Alias JJ, la celebridad del mal",,,2017
Alibaba Aur 40 Chor,"Latif Faiziyev, Umesh Mehra","Soviet Union, India",1980
Alice Doesn't Live Here Anymore,Martin Scorsese,United States,1974
Alice Junior,Gil Baroni,Brazil,2019
Alien Contact: Outer Space,J. Michael Long,United States,2017
Alien Warfare,Jeremiah Jones,United States,2019
Alien Xmas,Stephen Chiodo,United States,2020
Aliens Ate My Homework,Sean McNamara,United States,2018
Alive and Kicking,Susan Glatzer,"Sweden, United States",2016
All About Love,Adze Ugah,South Africa,2017
All About Nina,Eva Vives,United States,2018
All Because of You,Adrian Teh,Malaysia,2020
All Day and a Night,Joe Robert Cole,United States,2020
All Dogs Go to Heaven,"Don Bluth, Gary Goldman, Dan Kuenster","Ireland, United Kingdom, United States",1989
All Good Ones Get Away,VÃ­ctor GarcÃ­a,"Spain, Italy",2019
All Hallows' Eve,Charlie Vaughn,United States,2016
All In My Family,Hao Wu,United States,2019
All Light Will End,Chris Blake,United States,2018
All of You,Dan Villegas,Philippines,2017
All the Boys Love Mandy Lane,Jonathan Levine,United States,2006
All The Bright Places,Brett Haley,United States,2020
All the Devil's Men,Matthew Hope,United Kingdom,2018
All the Freckles in the World,YibrÃ¡n Asuad,Mexico,2020
All The Reasons To Forget,Pedro Coutinho,Brazil,2017
All Together Now,Brett Haley,United States,2020
"All's Well, End's Well (2009)",Vincent Kok,Hong Kong,2009
Alles ist gut,Eva Trobisch,Germany,2019
AllI Wish,Susan Walter,United States,2017
Almost Love,Mike Doyle,United States,2020
Alone in Berlin,Vincent Perez,"United Kingdom, France, Germany",2016
Alone/Together,Antoinette Jadaone,Philippines,2019
Along Came a Spider,Lee Tamahori,"United States, Germany, Canada",2001
Alpha and Omega 2: A Howl-iday Adventure,Richard Rich,United States,2013
Alpha and Omega: The Legend of the Saw Tooth Cave,Richard Rich,"United States, India",2014
AlphaGo,Greg Kohs,United States,2017
Alt-Right: Age of Rage,Adam Bhala Lough,,2018
Altered Carbon: Resleeved,"Takeru Nakajima, Yoshiyuki Okada","Japan, United States",2020
Always a Bridesmaid,Trey Haley,United States,2019
Always Be My Maybe,Dan Villegas,Philippines,2016
Amanda Knox,"Rod Blackhurst, Brian McGinn","Denmark, United States",2016
Amandla! A Revolution in Four Part Harmony,Lee Hirsch,"South Africa, United States",2002
Amar,Esteban Crespo,Spain,2017
Amar Akbar & Tony,Atul Malhotra,United Kingdom,2015
Amar Akbar Anthony,Manmohan Desai,India,1977
Amar's Hands,Khaled Youssef,Egypt,2011
Amateur,Ryan Koo,United States,2018
Amelia: A Tale of Two Sisters,Edward Cotterill,United Kingdom,2017
American Anarchist,Charlie Siskel,United States,2016
American Assassin,Michael Cuesta,United States,2017
American Beauty,Sam Mendes,United States,1999
American Circumcision,Brendon Marotta,United States,2017
American Experience: Ruby Ridge,Barak Goodman,United States,2017
American Experience: The Island Murder,Mark Zwonitzer,United States,2018
American Factory,"Steven Bognar, Julia Reichert",United States,2019
American Factory: A Conversation with the Obamas,,United States,2019
American Hangman,Wilson Coneybeare,Canada,2019
American Heist,Sarik Andreasyan,"Canada, Luxembourg",2014
American History X,Tony Kaye,United States,1998
American Honey,Andrea Arnold,"United Kingdom, United States",2016
American Masters: Ted Williams,Nick Davis,United States,2018
American Murder: The Family Next Door,Jenny Popplewell,United States,2020
American Pie 9: Girls' Rules,Mike Elliott,United States,2020
American Psycho,Mary Harron,"United States, Canada",2000
American Son,Kenny Leon,United States,2019
American Warfighter,Jerry G. Angelo,United States,2019
Amit Tandon: Family Tandoncies,,India,2019
Among Family,Ozan AÃ§Ä±ktan,Turkey,2017
Amrapali,Lekh Tandon,India,1966
Amy,Asif Kapadia,United Kingdom,2015
Amy Schumer Growing,Amy Schumer,United States,2019
Amy Schumer: The Leather Special,Amy Schumer,United States,2017
An American in Madras,Karan Bali,India,2013
An American Tail,Don Bluth,United States,1986
An American Tail: Fievel Goes West,"Phil Nibbelink, Simon Wells",United States,1991
An American Tail: The Mystery of the Night Monster,Larry Latham,United States,1999
An American Tail: The Treasures of Manhattan Island,Larry Latham,United States,2000
An Easy Girl,Rebecca Zlotowski,France,2019
An Egyptian Story,Youssef Chahine,Egypt,1982
An Evening with Beverly Luff Linn,Jim Hosking,"United Kingdom, United States",2018
An Hour and a Half,Wael Ehsan,Egypt,2012
An Imperfect Murder,James Toback,United States,2017
An Interview with God,Perry Lang,United States,2018
An Ordinary Man,Brad Silberling,"Serbia, United States",2017
An Unremarkable Christmas,Juan Camilo Pinzon,Colombia,2020
An Upper Egyptian,"Ismail Farouk, Hazem Fouda",Egypt,2014
Ana e VitÃ³ria,Matheus Souza,Brazil,2018
Anaamika,Sekhar Kammula,India,2014
Anarkali of Aarah,Avinash Das,India,2017
Anchor and Hope,Carlos Marques-Marcet,Spain,2017
Anchor Baby,Lonzo Nzekwe,"Canada, Nigeria",2010
And Breathe Normally,Ãsold UggadÃ³ttir,"Iceland, Sweden, Belgium",2018
Andaleeb El Dokki,Wael Ehsan,Egypt,2008
Andaz Apna Apna,Rajkumar Santoshi,India,1994
Andhadhun,Sriram Raghavan,India,2018
Andhaghaaram,V Vignarajan,,2020
Andhakaaram,V Vignarajan,India,2020
AndrÃ© & his olive tree,Josiah Ng,Singapore,2020
Anelka: Misunderstood,Franck Nataf,France,2020
Anesthesia,Tim Blake Nelson,United States,2015
Angamaly Diaries,Lijo Jose Pellissery,India,2017
Angel Eyes,Luis Mandoki,United States,2001
Angel Has Fallen,Ric Roman Waugh,United States,2019
Angela's Christmas,Damien OâConnor,"Ireland, Canada",2018
Angela's Christmas Wish,Damien OâConnor,United States,2020
Angels & Demons,Ron Howard,"United States, Italy",2009
Anger Management,Peter Segal,United States,2003
Angry Indian Goddesses,Pan Nalin,"India, Germany",2015
Angu Vaikuntapurathu (Malayalam),Trivikram Srinivas,,2020
Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,India,2018
ANIMA,Paul Thomas Anderson,United Kingdom,2019
Animal Crackers,"Tony Bancroft, Scott Christian Sava","China, Spain, South Korea, United States",2020
Animal World,Han Yan,China,2018
Animas,"Laura Alvea, JosÃ© OrtuÃ±o","Spain, Belgium",2018
Anjaan,N. Linguswamy,India,2014
Anjelah Johnson: Not Fancy,Jay Karas,United States,2015
Ankhon Dekhi,Rajat Kapoor,India,2013
Ankur Arora Murder Case,Sohail Tatari,India,2013
Annabelle Hooper and the Ghosts of Nantucket,Paul Serafini,United States,2016
Anon,Andrew Niccol,"United Kingdom, Canada, United States, Germany",2018
Another Forever,Juan Zapata,"Brazil, Netherlands, United States, Colombia, Austria, Germany",2016
Ant-Man and the Wasp,Peyton Reed,United States,2018
Antar: Son of Shadad,Sherif Ismail,Egypt,2017
Antariksha Ke Rakhwale,Anirban Majumder,,2018
Anthony Jeselnik: Fire in the Maternity Ward,Marcus Raboy,United States,2019
Anthony Jeselnik: Thoughts and Prayers,Adam Dubin,United States,2015
Anthony Kaun Hai?,Raj Kaushal,India,2006
Antidote,Ken Barbet,United States,2018
Antoine Griezmann: The Making of a Legend,,,2019
Anwar,Manish Jha,India,2007
Apache Warrior,"David Salzberg, Christian Tureaud",United States,2017
Apaharan,Prakash Jha,India,2005
APEX: The Story of the Hypercar,"J.F. Musial, Josh Vietze",United States,2016
Apollo 18,Gonzalo LÃ³pez-Gallego,"United States, Canada",2011
Apostle,Gareth Evans,"United Kingdom, United States",2018
April and the Extraordinary World,"Christian Desmares, Franck Ekinci","France, Canada, Belgium",2015
ArÃ¨s,Jean-Patrick Benes,France,2016
"Aram, Aram",Christopher Chambers,United States,2015
Arango y Sanint: RÃ­ase el show,"RaÃºl Campos, Jan Suter",Colombia,2018
Arctic Dogs,Aaron Woodley,"India, United Kingdom, China, Canada, Japan, South Korea, United States",2019
Arctic Heart,Marie Madinier,"France, Belgium",2016
Are We Done Yet?,Khaled El Halafawy,Egypt,2018
Ari EldjÃ¡rn: Pardon My Icelandic,August Jakobsson,Iceland,2020
"Ariana grande: excuse me, i love you",Paul Dugdale,United States,2020
Arisan 2,Nia Dinata,Indonesia,2011
Arjun: The Warrior Prince,Arnab Chaudhuri,India,2011
ARQ,Tony Elliott,"Canada, United States",2016
Arsenio Hall: Smart & Classy,Brian Volk-Weiss,United States,2019
Arthur,Jason Winer,United States,2011
Arthur Christmas,Sarah Smith,"United Kingdom, United States",2011
Article 15,Anubhav Sinha,India,2019
Aruna & Her Palate,Edwin,"Indonesia, South Korea, Singapore",2018
"As Above, So Below",John Erick Dowdle,United States,2014
As Good as It Gets,James L. Brooks,United States,1997
Ascharyachakit!,Samit Kakkad,India,2018
Asees,Rana Ranbir,India,2018
Asoka,Santosh Sivan,India,2001
Asperger's Are Us,Alex Lehmann,United States,2016
Asphalt Burning,Hallvard BrÃ¦in,Norway,2020
Assimilate,John Murlowski,United States,2019
Asu Mare 2,Ricardo Maldonado,Peru,2015
Asura Guru,A. Raajdheep,India,2020
Asura: The City of Madness,Sung-soo Kim,South Korea,2016
At All Costs,Mike Nicoll,United States,2016
At First Light,Jason Stone,Canada,2018
Athlete A,"Bonni Cohen, Jon Shenk",United States,2020
Atlantics,Mati Diop,"France, Senegal, Belgium",2019
Atlas Shrugged: Part II,John Putch,United States,2012
ATM,Mez Tharatorn,"United States, Canada",2012
Attacking the Devil: Harold Evans and the Last Nazi War Crime,"David Morris, Jacqui Morris",United Kingdom,2014
Attitude Test,"Fabrizio Copano, Augusto Matte",Chile,2016
Audrie & Daisy,"Bonni Cohen, Jon Shenk",United States,2016
Aurora,Cristi Puiu,"Romania, France, Switzerland, Germany",2010
Auschwitz: Blueprints of Genocide,Mike Rossiter,United Kingdom,1994
Austin Powers in Goldmember,Jay Roach,United States,2002
Austin Powers: International Man of Mystery,Jay Roach,United States,1997
Austin Powers: The Spy Who Shagged Me,Jay Roach,United States,1999
Autohead,Rohit Mittal,India,2016
Automata,Gabe IbÃ¡Ã±ez,"Bulgaria, United States, Spain, Canada",2014
Ava,Tate Taylor,United States,2020
Ave Maryam,Ertanto Robby Soediskam,Indonesia,2018
Avengement,Jesse V. Johnson,United Kingdom,2019
Avengers: Infinity War,"Anthony Russo, Joe Russo",United States,2018
Avicii: True Stories,Levan Tsikurishvili,"Sweden, Netherlands",2017
Await Further Instructions,Johnny Kevorkian,United Kingdom,2018
Awake,"Aleksandr Chernyaev, Fedor Lyass",United States,2019
Awe,Prasanth Varma,India,2018
Axone,Nicholas Kharkongor,India,2020
Ayana,Gangadhar Salimath,India,2017
"Ayotzinapa, el paso de la tortuga",Enrique GarcÃ­a Meza,Mexico,2018
Azali,Kwabena Gyansah,Ghana,2018
Azhar,Anthony D'Souza,India,2016
Aziz Ansari Live at Madison Square Garden,Aziz Ansari,United States,2015
Aziz Ansari: Buried Alive,"Will Lovelace, Dylan Southern",United States,2013
Aziz Ansari: RIGHT NOW,Spike Jonze,United States,2019
B.A. Pass,Ajay Bahl,India,2013
B.A. Pass 2,Shadab Khan,India,2017
Baadshaho,Milan Luthria,India,2017
Baaghi,Sabir Khan,India,2016
Baahubali 2: The Conclusion (Hindi Version),S.S. Rajamouli,India,2017
Baahubali 2: The Conclusion (Malayalam Version),S.S. Rajamouli,,2017
Baahubali 2: The Conclusion (Tamil Version),S.S. Rajamouli,,2017
